Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
0080;40558;ISMAEL CABRAL;PSB - PSB / PHS;280;0,15 %
0081;40444;RITA VASCONCELLOS - RITINHA;PSB - PSB / PHS;257;0,14 %
0082;77777;DIRCEU DO LABORATÓRIO;SD - SD / PMB / PSD / PRTB / PTC;255;0,14 %
0083;12333;CAROL CANTORA;PDT;247;0,14 %
0084;40111;VANDERLI SANTANNA;PSB - PSB / PHS;231;0,13 %
0085;20222;ELAINE MOREIRA;PSC - PSC / PSDB;228;0,13 %
0086;11101;MAGNO LUIZ;PP - PP / PV / REDE;224;0,12 %
0087;55181;IGOR CARNEIRO PC;PSD - SD / PMB / PSD / PRTB / PTC;222;0,12 %
0088;40100;GABRIELA FRANCO;PSB - PSB / PHS;215;0,12 %
0089;14022;ATLETA IVONETE MILAGRES;PTB;214;0,12 %
0090;23580;JAIDER;PPS - PPS / PROS;214;0,12 %
0091;77100;VINICIUS TAVARES;SD - SD / PMB / PSD / PRTB / PTC;214;0,12 %
0092;11800;LARISSA LORRAN;PP - PP / PV / REDE;210;0,12 %
0093;23100;SOLIMAR LIEVORI;PPS - PPS / PROS;209;0,12 %
0094;36000;MANOEL TESTA DE FERRO;PTC - SD / PMB / PSD / PRTB / PTC;208;0,11 %
0095;14966;JOÃO DO CD;PTB;194;0,11 %
0096;12012;JOSUE ALVARINO;PDT;193;0,11 %
0097;43100;ROSANNA PUPIM;PV - PP / PV / REDE;191;0,11 %
0098;11121;CARLA CAMPOS;PP - PP / PV / REDE;183;0,10 %
0099;77333;VICTOR COSTA;SD - SD / PMB / PSD / PRTB / PTC;177;0,10 %
0100;43444;LINDINALVA;PV - PP / PV / REDE;175;0,10 %
0101;43190;CAPITÃO EDGARD TORREZANI;PV - PP / PV / REDE;172;0,10 %
0102;40777;DOMINGOS CARDOSO - NINO;PSB - PSB / PHS;169;0,09 %
0103;14005;JAELSON DE ALMEIDA;PTB;166;0,09 %
0104;20015;ANDERSON ARAÚJO;PSC - PSC / PSDB;165;0,09 %
0105;12060;CELESTE FRANCESCHI;PDT;162;0,09 %
0106;45100;SERGIO RONDELLI;PSDB - PSC / PSDB;156;0,09 %
0107;45161;JOSÉ RENATO;PSDB - PSC / PSDB;152;0,08 %
0108;40010;JORGELITO DE OLIVEIRA;PSB - PSB / PHS;138;0,08 %
0109;14010;DIRLENE ANTONIA;PTB;138;0,08 %
0110;23433;MARCIA FERNANDES;PPS - PPS / PROS;138;0,08 %
0111;12888;PROFESSORA MARINEIA;PDT;131;0,07 %
0112;40040;GRAÇA LOUREIRO;PSB - PSB / PHS;129;0,07 %
0113;45222;PROFESSOR CLARENCE;PSDB - PSC / PSDB;123;0,07 %
0114;18000;LÉO NORBIM;REDE - PP / PV / REDE;114;0,06 %
0115;14155;WALMA RODRIGUES;PTB;111;0,06 %
0116;12903;DINA GOMES;PDT;110;0,06 %
0117;14233;NANY FOREVER;PTB;110;0,06 %
0118;23014;FLAVIA CALAZANS;PPS - PPS / PROS;107;0,06 %
0119;55007;ANDREA CASTRO;PSD - SD / PMB / PSD / PRTB / PTC;101;0,06 %
0120;40555;DOUGLAS ALMEIDA;PSB - PSB / PHS;97;0,05 %
0121;35000;ALBERTO MILHOMENS;PMB - SD / PMB / PSD / PRTB / PTC;97;0,05 %
0122;35555;ALE ALMEIDA;PMB - SD / PMB / PSD / PRTB / PTC;97;0,05 %
0123;35123;EDILEIA SCHERRER;PMB - SD / PMB / PSD / PRTB / PTC;96;0,05 %
0124;11789;ANDREA COELHO;PP - PP / PV / REDE;95;0,05 %
0125;23040;ALBERTO CAMPOS;PPS - PPS / PROS;89;0,05 %
0126;14255;VANIA CARIOCA;PTB;89;0,05 %
0127;23200;FEIJÃO;PPS - PPS / PROS;88;0,05 %
0128;36036;BRUNA WANDERLEY;PTC - SD / PMB / PSD / PRTB / PTC;88;0,05 %
0129;45111;EDSON FREITAS;PSDB - PSC / PSDB;87;0,05 %
0130;40333;AMARILIO BRAGA;PSB - PSB / PHS;78;0,04 %
0131;36123;TULIO BRASILEIRÃO;PTC - SD / PMB / PSD / PRTB / PTC;78;0,04 %
0132;14180;DENILSO DA FARMÁCIA;PTB;59;0,03 %
0133;23001;ADRIANO BEZERRA;PPS - PPS / PROS;56;0,03 %
0134;31234;KARLA SKARINE;PHS - PSB / PHS;54;0,03 %
0135;35222;CHUPETINHA;PMB - SD / PMB / PSD / PRTB / PTC;53;0,03 %
0136;35202;LUCIMARA FÉLIX;PMB - SD / PMB / PSD / PRTB / PTC;53;0,03 %
0137;43456;DALVINHA;PV - PP / PV / REDE;49;0,03 %
0138;23555;BIRA SONCINI;PPS - PPS / PROS;43;0,02 %
0139;23180;GREICY ESTEVES;PPS - PPS / PROS;42;0,02 %
0140;23104;MARCOS FONTINI;PPS - PPS / PROS;42;0,02 %
0141;40999;ANA MOREIRA;PSB - PSB / PHS;39;0,02 %
0142;40500;PAULA MARTINS;PSB - PSB / PHS;37;0,02 %
0143;23028;JOCIEL CABELO DO PARQUE;PPS - PPS / PROS;34;0,02 %
0144;35035;PR. WALMIR;PMB - SD / PMB / PSD / PRTB / PTC;29;0,02 %
0145;35635;MARILIA AGNER;PMB - SD / PMB / PSD / PRTB / PTC;24;0,01 %
0146;20001;LUCIANA DE ITARARÉ;PSC - PSC / PSDB;20;0,01 %
0147;12270;PROFESSORA IRACEMA QUEIROZ;PDT;18;0,01 %
0148;20888;HELEN VIEIRA;PSC - PSC / PSDB;11;0,01 %
0149;40666;MARIA DA PENHA ALVES;PSB - PSB / PHS;8;0,01 %
0150;11218;MARISE TORREZANI;PP - PP / PV / REDE;5;0,01 %
0151;90456;JUREMA RAMOS;PROS - PPS / PROS;0;0,00 %
0152;50123;CAMILA VALADÃO;PSOL;3.727;2,06 %
0153;15626;ZEZITO MAIO;PMDB;3.590;1,98 %
0154;10123;DEVANIR FERREIRA;PRB - PRB / PEN / PPL / PSDC / PC do B;2.948;1,63 %
0155;15660;MAURICIO LEITE;PMDB;2.864;1,58 %
0156;13123;MARCELÃO;PT;2.006;1,11 %
0157;65123;NAMY CHEQUER;PC do B - PRB / PEN / PPL / PSDC / PC do B;1.774;0,98 %
0158;13000;RANIERY FERREIRA;PT;1.574;0,87 %
0159;27000;ANDRE BRANDINO DO FERRO VELHO;PSDC - PRB / PEN / PPL / PSDC / PC do B;1.293;0,71 %
0160;33033;PROFESSOR GEAN JACCOUD;PMN - PRP / PMN / PSL;1.271;0,70 %
0161;25222;EDILSON LUCAS;DEM - PTN / DEM / PR / PT do B;1.256;0,69 %
0162;13466;REINALDO BOLÃO;PT;1.195;0,66 %
0163;25555;JOSÉ FERNANDO DUARTE;DEM - PTN / DEM / PR / PT do B;1.101;0,61 %
0164;19123;CLEVINHO;PTN - PTN / DEM / PR / PT do B;1.097;0,61 %
0165;13183;PROFESSORA DENISE;PT;1.067;0,59 %
0166;15123;ANDRÉ LUIS ALVES;PMDB;984;0,54 %
0167;10678;NENO BAHIA;PRB - PRB / PEN / PPL / PSDC / PC do B;947;0,52 %
0168;19000;PASTOR WESCLEY QUIMQUIM;PTN - PTN / DEM / PR / PT do B;757;0,42 %
0169;44000;TEIXEIRA MARCUS;PRP - PRP / PMN / PSL;746;0,41 %
0170;25000;TIAGO MARTINS;DEM - PTN / DEM / PR / PT do B;710;0,39 %
0171;25123;ARMANDINHO FONTOURA;DEM - PTN / DEM / PR / PT do B;690;0,38 %
0172;13456;ROBINHO DO SAMBA;PT;667;0,37 %
0173;44100;SANDRO ROSA;PRP - PRP / PMN / PSL;662;0,37 %
0174;54000;LINDIOMAR CÔCO;PPL - PRB / PEN / PPL / PSDC / PC do B;649;0,36 %
0175;10000;PROFESSOR CEOLIN;PRB - PRB / PEN / PPL / PSDC / PC do B;623;0,34 %
0176;19619;FABIO VASCO;PTN - PTN / DEM / PR / PT do B;600;0,33 %
0177;15555;LUCAS SALLES;PMDB;577;0,32 %
0178;44020;GUTHY EMOÇÃO;PRP - PRP / PMN / PSL;561;0,31 %
0179;19333;EDENILSON CARECA;PTN - PTN / DEM / PR / PT do B;497;0,27 %
0180;51000;IVENILTON JUNIOR;PEN - PRB / PEN / PPL / PSDC / PC do B;497;0,27 %
0181;25100;ROMINHO DIAS;DEM - PTN / DEM / PR / PT do B;493;0,27 %
0182;51234;JORGINHO GUANABARA;PEN - PRB / PEN / PPL / PSDC / PC do B;475;0,26 %
0183;13013;PROFESSOR NELSINHO;PT;466;0,26 %
0184;17000;CARLOS COCO;PSL - PRP / PMN / PSL;455;0,25 %
0185;19200;TIA ROSE;PTN - PTN / DEM / PR / PT do B;425;0,23 %
0186;70000;ADILSON BATOM;PT do B - PTN / DEM / PR / PT do B;417;0,23 %
0187;15192;PROFESSOR MARCÃO;PMDB;402;0,22 %
0188;17017;JOSÉ CARLOS;PSL - PRP / PMN / PSL;386;0,21 %
0189;13555;LENA SIGNORELLI;PT;359;0,20 %
0190;54777;ARTUR PEREIRA;PPL - PRB / PEN / PPL / PSDC / PC do B;353;0,20 %
0191;22222;CLAUDINHA LEITE;PR - PTN / DEM / PR / PT do B;327;0,18 %
0192;22300;DUDU CONTADOR;PR - PTN / DEM / PR / PT do B;319;0,18 %
0193;19014;CLAUDINHO SABINO;PTN - PTN / DEM / PR / PT do B;316;0,17 %
0194;33333;RENATO CYPRESTE;PMN - PRP / PMN / PSL;297;0,16 %
0195;70678;RUBINHO CARTEIRO;PT do B - PTN / DEM / PR / PT do B;295;0,16 %
0196;70007;NEGUINHO GIOVANI;PT do B - PTN / DEM / PR / PT do B;285;0,16 %
0197;44555;AGNALDO GOLDNER;PRP - PRP / PMN / PSL;272;0,15 %
0198;44222;ANDRÉ JEVEAUX;PRP - PRP / PMN / PSL;236;0,13 %
0199;17007;CANDINHA;PSL - PRP / PMN / PSL;233;0,13 %
0200;27277;NEGA DANDA;PSDC - PRB / PEN / PPL / PSDC / PC do B;227;0,13 %
0201;15175;TIA ILDA;PMDB;211;0,12 %
0202;65000;GIL SILVA;PC do B - PRB / PEN / PPL / PSDC / PC do B;202;0,11 %
0203;44777;WAGNER ALVES;PRP - PRP / PMN / PSL;193;0,11 %
0204;54300;JOSE SILVA;PPL - PRB / PEN / PPL / PSDC / PC do B;185;0,10 %
0205;44010;PROFESSOR LAURO;PRP - PRP / PMN / PSL;176;0,10 %
0206;33000;PROFESSOR CLÁUDIO PEIXINHO;PMN - PRP / PMN / PSL;174;0,10 %
0207;15188;TEREZA MOTTA;PMDB;172;0,10 %
0208;44433;JOSY SAMPAIO;PRP - PRP / PMN / PSL;167;0,09 %
0209;70888;SUELY;PT do B - PTN / DEM / PR / PT do B;166;0,09 %
0210;27333;MESTRE REGINALDO;PSDC - PRB / PEN / PPL / PSDC / PC do B;163;0,09 %
0211;13213;ELIZETE;PT;161;0,09 %
0212;27007;MELQUE;PSDC - PRB / PEN / PPL / PSDC / PC do B;155;0,09 %
0213;27100;LUCIANO DA CASA DO CIDADAO;PSDC - PRB / PEN / PPL / PSDC / PC do B;150;0,08 %
0214;15333;CARMEM CELIA;PMDB;143;0,08 %
0215;70852;CARLÃO;PT do B - PTN / DEM / PR / PT do B;138;0,08 %
0216;70112;MANHÃES;PT do B - PTN / DEM / PR / PT do B;133;0,07 %
0217;17777;PROFESSOR LOURIVAL;PSL - PRP / PMN / PSL;133;0,07 %
0218;13570;CEARÁ DO GAS;PT;129;0,07 %
0219;44147;SANDRA LACERDA;PRP - PRP / PMN / PSL;120;0,07 %
0220;25800;RITA DO BOLINHO DE BACALHAU;DEM - PTN / DEM / PR / PT do B;117;0,06 %
0221;54190;LOPES;PPL - PRB / PEN / PPL / PSDC / PC do B;115;0,06 %
0222;51444;MC ANDREZINHO DO COMPLEXO;PEN - PRB / PEN / PPL / PSDC / PC do B;105;0,06 %
0223;13023;MARIA APARECIDA R. DA SILVA;PT;98;0,05 %
0224;15276;JULIANA MAIA;PMDB;96;0,05 %
0225;15000;MARIA APARECIDA DE OLIVEIRA;PMDB;80;0,04 %
0226;13606;LOURIVAL PEREIRA DO PT;PT;79;0,04 %
0227;70456;HELENA SANTIAGO;PT do B - PTN / DEM / PR / PT do B;78;0,04 %
0228;70001;PATRICIA PEDROSA;PT do B - PTN / DEM / PR / PT do B;75;0,04 %
0229;44044;PASTORA CIARA;PRP - PRP / PMN / PSL;66;0,04 %
0230;10777;FATINHA DE VAVA;PRB - PRB / PEN / PPL / PSDC / PC do B;54;0,03 %
0231;13734;PASTOR ELIAS O BAIANO;PT;50;0,03 %
0232;65001;MAE VERA SION D'OYÁ;PC do B - PRB / PEN / PPL / PSDC / PC do B;49;0,03 %
0233;13131;FABIO JUNIO;PT;34;0,02 %
0234;27777;MISSIONARIA SANDRA;PSDC - PRB / PEN / PPL / PSDC / PC do B;32;0,02 %
0235;70700;PENHA SANTOS;PT do B - PTN / DEM / PR / PT do B;26;0,01 %
0236;10078;IVONETE FRANÇA;PRB - PRB / PEN / PPL / PSDC / PC do B;25;0,01 %
0237;10555;VILMA RESENDE DA ROCHA;PRB - PRB / PEN / PPL / PSDC / PC do B;21;0,01 %
0238;33998;DIRCE RODRIGUES;PMN - PRP / PMN / PSL;20;0,01 %
0239;17999;CANTORA ROSE MIRIAM;PSL - PRP / PMN / PSL;8;0,01 %
0240;17001;CIRLENE MOREIRA;PSL - PRP / PMN / PSL;2;0,01 %
#0241;27256;SAUL PEREIRA;PSDC - PRB / PEN / PPL / PSDC / PC do B;0;0,00 %
#0242;12025;ZILMARIA;PDT;0;0,00 %
#0243;13680;GESSIMARA;PT;0;0,00 %
#0244;13789;MARA MATTOS;PT;0;0,00 %
#0245;23111;EDINHO BLANCHER;PPS - PPS / PROS;0;0,00 %
#0246;43210;JÉSSICA POLESE;PV - PP / PV / REDE;0;0,00 %
#0247;50000;EDMAR SANTOS;PSOL;0;0,00 %
